! SHMS reconstruction optics
! made with Cosy from `shms-2011-26cm-monte_q2_m015
! order: 5
 ------------------------------------------------------------------------------
  0.229605153    -0.423421792E-01 0.240609342E-01 0.459345551     10000
  -1.18506773    -0.684697442E-01 0.389079174E-01 0.742788231     01000
   0.00000000    -0.751212983     0.291157985      0.00000000     00100
   0.00000000      1.36237923     -1.85921653      0.00000000     00010
  0.238849399    -0.658993561E-01 0.374472949E-01 0.714903594     00001
 -0.247490311     0.735184808E-01-0.445413442E-01-0.612927551     20000
  0.797477230    -0.224841976     0.156223499      3.39418801     11000
   2.43657584    -0.805902696     0.384451364      8.59132705     02000
  0.711191308E-02  2.42006086    -0.461873727     0.108480503E-01 10100
 -0.367069230E-01  3.71132624    -0.656759787    -0.559903562E-01 01100
  0.104818809E-02 0.574232575E-04-0.210249146E-02 0.224798406E-02 00200
 -0.356247561E-01 -25.4496622      4.70987453    -0.398461889E-01 10010
  0.183871086     -40.8926119      7.86591874     0.205659289     01010
  0.531509647E-01-0.667797933E-01 0.346167379E-01 0.119539770     00110
 -0.832246472     0.173209345    -0.110996165     -1.40738166     10001
   1.25585747    -0.396677397     0.290165634      6.32146475     01001
  0.109952359E-01  3.76081821    -0.716360111     0.221438071E-01 00101
 -0.315003664     0.363322278    -0.100788021    -0.195793345     00020
 -0.600711542E-01 -39.9393610      7.46637810    -0.110922015     00011
 -0.695789652     0.970992625E-01-0.652324275E-01-0.705728563     00002
  0.792846713    -0.218177669     0.131206744      1.77551753     30000
  -5.61001432      1.65814771     -1.00307861     -16.8323621     21000
   6.91716748     -2.54451887      1.49848329      40.2848690     12000
   5.13266596     -1.01140337     0.930779226      26.7338554     03000
 -0.357209373E-01 -7.58484877      1.44929841    -0.627845055E-01 20100
  0.165813428      37.3141805     -6.80115267     0.352429474     11100
  0.945137454E-01 -22.5206050      3.68933183    -0.148374744     02100
  0.372689365    -0.382978030E-01 0.605173925E-01  1.17244305     10200
  -1.94314379     0.287920913    -0.247946742     -6.08906856     01200
  0.324671398E-04 -2.01060031     0.368855162     0.495232663E-04 00300
  0.241864869      79.4844309     -15.1649163     0.423604402     20010
 -0.986667909     -384.107596      70.3771349     -1.96559866     11010
  -1.34433589      256.957466     -47.6543574     -1.13242726     02010
  -7.90396518      1.30213021     -1.29644146     -24.5786339     10110
   40.3214718     -7.64413384      5.55715979      126.028091     01110
  0.148369316E-02  64.1631831     -11.9422954     0.232929457E-02 00210
   3.45327128    -0.752311533     0.468776240      6.03211263     20001
  -15.9037435      3.93883391     -2.45577232     -38.0340620     11001
   9.42947590     -3.79198658      2.18142531      60.9509219     02001
 -0.119935702     -18.1980697      3.52364916    -0.203573207     10101
  0.276195830      49.3920114     -9.17191764     0.525223208     01101
  0.498634440     0.320497737E-01 0.525127291E-01  1.13045601     00201
   41.8267221     -9.49703265      6.93518361      128.955605     10020
  -212.780236      49.3000383     -31.3839885     -658.561357     01020
 -0.180038156E-01 -682.143657      127.858051    -0.241067715E-01 00120
  0.815067339      192.456734     -37.1823953      1.43785073     10011
  -1.68843802     -508.716437      94.2009041     -3.20551591     01011
  -10.7778311     0.177179583     -1.17880232     -24.1941005     00111
   5.09823289    -0.887343515     0.579929116      7.29476075     10002
  -12.2218516      2.42105838     -1.56936722     -21.8089128     01002
 -0.100846251     -11.6408523      2.26856238    -0.158979355     00102
  0.488748992E-01  2411.35889     -454.035550     0.546664364E-01 00030
   57.8737020     -5.50916606      6.56946626      129.596447     00021
  0.689266357      124.594262     -24.3170359      1.16105422     00012
   2.52734375    -0.355947800     0.247344836      3.16106462     00003
  -2.84837685     0.738842912    -0.447077715     -5.83396220     40000
   27.9656036     -7.65160780      4.64976612      68.2851211     31000
  -74.4917203      22.3362019     -13.6086518     -248.718834     22000
   18.5769054     -8.62642173      5.19244946      216.493834     13000
   61.9353656     -22.0464847      13.2695386      346.105091     04000
  0.190272951      21.0557927     -4.08893136     0.336180458     30100
  -1.43085377     -149.543805      28.4290462     -2.93101362     21100
   2.48139644      149.884307     -26.9044433      6.77675992     12100
 -0.813309394      285.104200     -52.2778598     -3.06353254     03100
  -1.66235382    -0.115015214    -0.206044030     -3.77621820     20200
   10.3446061     0.326066536      1.22644569      28.0103559     11200
  -8.98066938     0.606084862     -1.60620476     -43.8961768     02200
  0.310558995E-01  8.79588668     -1.69463468     0.575055076E-01 10300
 -0.161573814     -29.8102012      5.63564163    -0.298700298     01300
  0.208358080E-02-0.155689649E-01-0.547643656E-02 0.620648897E-02 00400
  -1.38940585     -222.134852      42.9974632     -2.44434577     30010
   9.91408044      1543.70348     -291.890010      20.0868642     21010
  -15.5976455     -1422.90261      249.552805     -40.5830032     12010
   7.15616160     -3212.11396      592.503334      10.0066694     03010
   34.4611069    -0.172364913      4.56548440      78.2754215     20110
  -209.923245      10.4082553     -27.4238824     -568.961523     11110
   169.673998     -33.0532420      35.0504860      857.279983     02110
 -0.887440496     -279.837240      53.7468211     -1.61282840     10210
   4.54001766      906.378392     -170.038736      8.26573465     01210
  0.429687866E-01 0.507859737     0.228203770     0.148703166     00310
  -15.8152810      3.49409663     -2.16860753     -27.7708330     30001
   115.927039     -27.5499220      17.1185141      243.011063     21001
  -206.051983      57.4083667     -35.3323404     -610.738044     12001
   25.9793078     -19.6367621      11.2886767      411.021860     03001
  0.883489629      78.0494999     -15.1862824      1.47889054     20101
  -4.24664681     -392.440798      74.8277203     -8.28124952     11101
   3.51522472      257.392987     -46.1115235      9.48705658     02101
  -4.77987058    -0.787331857    -0.403819091     -8.67445217     10201
   15.3854463      1.43780705      1.31559278      31.5370516     01201
  0.479106905E-01  9.99610740     -1.93237215     0.962961189E-01 00301
  -177.324929      14.3763014     -25.0563155     -402.724506     20020
   1064.36307     -144.750570      152.808629      2883.27795     11020
